name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Loving Is Easy,Loving Is Easy,Rex Orange County,5EYi2rH4LYs6M21ZLOyQTx,2017-10-11,76,155720,0.756,0.217,0.609,0.00474,0.096,0.537,-7.927,0.0544,117.023,3,4,happy
Let It Happen,Currents,Tame Impala,2X485T9Z5Ly0xyaghN73ed,2015-07-17,75,467586,0.602,0.00462,0.881,0.0266,0.111,0.577,-5.875,0.0443,125.012,1,4,happy
prom dress,the masquerade,mxmtoon,2xCGBWfzTe8l2kvHpgvB6M,2019-09-17,73,197933,0.56,0.698,0.674,0.0,0.123,0.421,-6.048,0.0446,119.942,10,4,happy
Free Time,Free Time,Ruel,0fNLObXT9pvc3VED0oAevd,2019-09-13,59,218826,0.637,0.101,0.478,0.0,0.103,0.201,-5.783,0.03,99.989,11,3,happy
Snap Out Of It,AM,Arctic Monkeys,0NdTUS4UiNYCNn5FgVqKQY,2013-09-09,75,193030,0.728,0.249,0.638,0.0,0.116,0.872,-6.455,0.0336,130.014,5,4,happy
Why Do You Feel So Down,What Do You Think About the Car?,Declan McKenna,5Bge1Dsqjc14hhGguYML5w,2017-07-21,66,220706,0.558,0.0576,0.909,0.0,0.102,0.452,-5.851,0.0406,114.56,7,4,happy
LAIDBACK,SCUM,RAT BOY,4s9LfTk4e4LAXyQek53fa5,2017-08-11,49,213213,0.487,0.00229,0.97,0.0,0.0559,0.815,-3.156,0.0729,89.928,9,4,happy
Cool Kids,Talking Dreams (Deluxe Edition),Echosmith,13P5rwmk2EsoFRIz9UCeh9,2013-10-04,73,237626,0.719,0.0372,0.671,8.21e-06,0.12,0.786,-6.279,0.0336,130.027,8,4,happy
Budapest,Wanted on Voyage (Expanded Edition),George Ezra,2ixsaeFioXJmMgkkbd4uj1,2014-06-30,79,200733,0.717,0.0846,0.455,0.0,0.11,0.389,-8.303,0.0276,127.812,5,4,happy
Blame It on Me,Wanted on Voyage (Expanded Edition),George Ezra,2vzMWO0T008m86yDnXwkII,2014-06-30,69,196400,0.537,0.473,0.757,0.0,0.341,0.421,-3.374,0.0274,103.882,3,4,happy
Listen to the Man,Wanted on Voyage (Expanded Edition),George Ezra,5B0ibk0qk9ees6wvlzMsZe,2014-06-30,61,183680,0.599,0.503,0.551,0.0,0.0875,0.538,-5.937,0.0317,121.122,9,4,happy
